"countryISO","MicronutEvenness","MicronutDensityScore_W","VulnCC_W","VulnF_W","color","quartile","ISO","Vitamin_A_PII","Zinc_PII","Iron_PII","Calcium_PII","mean_PII","yield_5Y","cumulArea","RegionWB","hdi2018","TaxRichness","NutritionalDep"
"Saudi Arabia",0.728087791392761,169.759712393319,65.6986553506379,38.9432823571607,"#EEB66D","2","SAU",39.79646038,23.07031364,2.5194770095,22.67814963,22.016100164875,92384.3996501856,220185.4083682,"Middle East & North Africa",0.857,181,0.06
"Senegal",0.589164103353905,177.058640656451,42.5335791396753,40.7605774394961,"#FCAC5F","3","SEN",53.305308,21.208832565,44.1682564495,92.32758393,52.752495236125,1123338.51479492,157737.237177,"Sub-Saharan Africa",0.514,197,0.48
"Seychelles",0.644452440292511,138.65369707308,53.6402921075815,58.3350717054141,"#ACDCA3","1","SYC",NA,NA,NA,NA,NA,16133.7293327797,1331918.84616,"Sub-Saharan Africa",0.801,39,NA
"Sierra Leone",0.432765707289476,195.632686918502,57.243570712782,28.6890514029001,"#EA643E","4","SLE",60.0838116,31.29292653,50.08401249,92.37326599,58.4585041525,385758.136981298,159300.799672,"Sub-Saharan Africa",0.438,143,0.65
"Sint Maarten",0.779055692932202,172.739284948326,58.6366616266276,43.1186360281459,"#F4B268","3","SXM",NA,NA,NA,NA,NA,3886.6800782151,499.205020871,"Latin America & Caribbean",0.934,54,NA
"Slovenia",0.51696882241241,179.09993676254,30.8048859511018,32.545890693532,"#FAA45C","3","SVN",10.78472639,12.90576447,6.643423505,6.117635629,9.1128874985,1337.6502355871,191.912791598,"Europe & Central Asia",0.902,93,0.03
"Solomon Isl.",0.34847938075302,183.76499638106,42.4588442955718,43.5843078318944,"#F69254","4","SLB",85.86836721,4.760632036,4.4862735795,87.86239339,45.744416553875,200243.839615458,1596372.69335,"East Asia & Pacific",0.557,45,0.65
"Somalia",0.667381502887298,176.904831468055,52.7147174151006,42.0225730994383,"#FDAC60","3","SOM",NA,NA,NA,NA,NA,225889.815686304,831058.295915,"Sub-Saharan Africa",NA,80,0.04
"South Africa",0.392090889504117,180.615077470979,38.0170838425487,36.1668179696521,"#F99E59","3","ZAF",25.8744027485,24.49300898,16.719264705,79.61541658,36.675523253375,222085.285274771,1539332.802268,"Sub-Saharan Africa",0.705,105,0.06
"South Georgia & Sandwich Isl.",0.134148091287356,112.911582757078,51.1926260711438,65.8154629296486,"#55A1B2","1","SGS",NA,NA,NA,NA,NA,52634.8305684291,1203148.04177,"East Asia & Pacific",0.92,18,NA
"South Korea",0.630221028301652,151.767973340223,42.415987777281,35.3760072000624,"#C7CC8C","1","KOR",8.540888071,2.80662259,0.760548184,65.47005272,19.39452789125,4324756.12124542,473315.817597,"East Asia & Pacific",0.906,122,0.34
"Spain",0.516528685899475,177.818262246765,30.8883841707419,41.9853867027709,"#FBA95E","3","ESP",14.36002366,0.200993526,1.57803051,21.97509718,9.528536219,241414.782724025,1010940.354211,"Europe & Central Asia",0.893,284,0.18
"St Barthelemy",0.732726824746921,171.231357459487,57.4209596287797,46.239418661434,"#F1B46A","2","BLM",NA,NA,NA,NA,NA,2051.41639815105,4294.62508546,"Latin America & Caribbean",0.891,52,NA
"Suriname",0.530853793665813,158.691738690817,57.5399082403131,43.8636163655224,"#D6C380","1","SUR",46.95602169,15.85294211,12.6850984305,76.10031525,37.898594370125,75555.8608788346,127818.978582,"Latin America & Caribbean",0.724,73,0.23
"Svalbard and Jan Mayen",0.381832830066646,105.963149537961,37.409902706002,58.3380011980738,"#3F90B6","1","SJM",NA,NA,NA,NA,NA,204486.184284004,1088190.447032,"Europe & Central Asia",0.954,22,NA
"Sweden",0.325461550300429,117.139297276984,25.9167636051926,41.3559369352153,"#64ABB0","1","SWE",7.314278944,0.171923617,2.051960102,1.809726284,2.83697223675,187748.167800993,156988.8594657,"Europe & Central Asia",0.937,65,0.1
"Syria",0.713004640944443,174.165123998204,40.7204226574626,42.8172373956736,"#F8B065","3","SYR",NA,NA,NA,NA,NA,16484.2845513543,10188.8393664,"Middle East & North Africa",0.549,88,0.03
"Taiwan",0.674316093185683,160.943710472661,44.6189067160668,35.9288330172468,"#DBC17C","2","TWN",NA,NA,NA,NA,NA,5330937.07529488,1148505.48933,"East Asia & Pacific",NA,148,NA
"Tanzania",0.708595857174809,178.94765012263,55.6994481297057,36.4301270439024,"#FAA45C","3","TZA",77.476810995,27.35476777,56.45912582,82.68215407,60.99321466375,127710.666634005,241128.153327,"Sub-Saharan Africa",0.528,81,NA
"Thailand",0.581977018627266,182.420748665319,53.2699069089002,27.4691555942768,"#F79756","4","THA",34.959307675,20.18043499,20.74349312,78.12679546,38.50250781125,1133621.01210808,305780.018094,"East Asia & Pacific",0.765,144,0.32
